"Kod";"Nazwa";"wypadki ogółem;1999;[szt.]";"wypadki ogółem;2000;[szt.]";"wypadki ogółem;2001;[szt.]";"wypadki ogółem;2002;[szt.]";"wypadki ogółem;2003;[szt.]";"wypadki ogółem;2004;[szt.]";"wypadki ogółem;2005;[szt.]";"wypadki ogółem;2006;[szt.]";"wypadki ogółem;2007;[szt.]";"wypadki ogółem;2008;[szt.]";"wypadki ogółem;2009;[szt.]";"wypadki ogółem;2010;[szt.]";"wypadki ogółem;2011;[szt.]";"wypadki ogółem;2012;[szt.]";"wypadki ogółem;2013;[szt.]";"wypadki ogółem;2014;[szt.]";"wypadki ogółem;2015;[szt.]";"wypadki ogółem;2016;[szt.]";"wypadki ogółem;2017;[szt.]";"wypadki ogółem;2018;[szt.]";"wypadki ogółem;2019;[szt.]";"wypadki ogółem;2020;[szt.]";"wypadki ogółem;2021;[szt.]";"wypadki ogółem;2022;[szt.]";"wypadki ogółem;2023;[szt.]";"wypadki ogółem;2024;[szt.]";
1015072;"Nowy Kawęczyn (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;1;
1015082;"Skierniewice (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;8;
1015092;"Słupia (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
1016000;"Powiat tomaszowski";;;;;;;;;;;;;208;155;108;109;196;201;175;227;224;171;158;115;131;178;
1016011;"Tomaszów Mazowiecki (1)";;;;;;;;;;;;;;;;;;;;;;;;;74;92;
1016022;"Będków (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;0;
1016032;"Budziszewice (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;4;
1016042;"Czerniewice (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;8;
1016052;"Inowłódz (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;;
1016053;"Inowłódz (3)";;;;;;;;;;;;;;;;;;;;;;;;;;6;
1016062;"Lubochnia (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;7;
1016072;"Rokiciny (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;10;
1016082;"Rzeczyca (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;5;
1016092;"Tomaszów Mazowiecki (2)";;;;;;;;;;;;;;;;;;;;;;;;;12;22;
1016103;"Ujazd (3)";;;;;;;;;;;;;;;;;;;;;;;;;10;20;
1016112;"Żelechlinek (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;4;
1017000;"Powiat wieluński";;;;;;;;;;;;;51;50;45;55;41;37;35;35;36;30;28;44;38;29;
1017012;"Biała (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;0;
1017022;"Czarnożyły (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
1017032;"Konopnica (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
1017042;"Mokrsko (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;3;
1017052;"Osjaków (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;;
1017053;"Osjaków (3)";;;;;;;;;;;;;;;;;;;;;;;;;;2;
1017062;"Ostrówek (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;4;
1017072;"Pątnów (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;4;
1017082;"Skomlin (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;0;
1017093;"Wieluń (3)";;;;;;;;;;;;;;;;;;;;;;;;;23;9;
1017102;"Wierzchlas (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;5;
1018000;"Powiat wieruszowski";;;;;;;;;;;;;42;42;36;39;42;40;33;21;23;17;16;18;20;23;
1018013;"Bolesławiec (3)";;;;;;;;;;;;;;;;;;;;;;;;;;2;
1018022;"Czastary (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
1018032;"Galewice (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;2;
1018043;"Lututów (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;4;
1018052;"Łubnice (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;1;
1018062;"Sokolniki (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;4;
1018073;"Wieruszów (3)";;;;;;;;;;;;;;;;;;;;;;;;;10;8;
1019000;"Powiat zduńskowolski";;;;;;;;;;;;;77;72;65;70;64;63;41;39;52;36;28;30;35;29;
1019011;"Zduńska Wola (1)";;;;;;;;;;;;;;;;;;;;;;;;;23;15;
1019023;"Szadek (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;5;
1019032;"Zapolice (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;4;
1019042;"Zduńska Wola (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;5;
1020000;"Powiat zgierski";;;;;;;;;;;;;231;228;197;187;174;165;163;169;167;134;128;146;182;157;
1020011;"Głowno (1)";;;;;;;;;;;;;;;;;;;;;;;;;8;11;
1020021;"Ozorków (1)";;;;;;;;;;;;;;;;;;;;;;;;;16;8;
1020031;"Zgierz (1)";;;;;;;;;;;;;;;;;;;;;;;;;61;41;
1020043;"Aleksandrów Łódzki (3)";;;;;;;;;;;;;;;;;;;;;;;;;33;26;
1020052;"Głowno (2)";;;;;;;;;;;;;;;;;;;;;;;;;9;6;
1020062;"Ozorków (2)";;;;;;;;;;;;;;;;;;;;;;;;;10;11;
1020072;"Parzęczew (2)";;;;;;;;;;;;;;;;;;;;;;;;;11;;
1020073;"Parzęczew (3)";;;;;;;;;;;;;;;;;;;;;;;;;;5;
1020083;"Stryków (3)";;;;;;;;;;;;;;;;;;;;;;;;;22;25;
1020092;"Zgierz (2)";;;;;;;;;;;;;;;;;;;;;;;;;12;24;
1021000;"Powiat brzeziński";;;;;;;;;;;;;47;50;54;49;59;55;41;45;33;32;27;25;27;49;
1021011;"Brzeziny (1)";;;;;;;;;;;;;;;;;;;;;;;;;9;12;
1021022;"Brzeziny (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;10;
1021032;"Dmosin (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;13;
1021043;"Jeżów (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;4;
1021052;"Rogów (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;10;
1061000;"Powiat m. Łódź";;;;;;;;;;;;;1826;1668;1716;1791;1715;1714;1613;1570;1376;918;915;920;846;859;
1061011;"Łódź (1)";;;;;;;;;;;;;;;;;;;;;;;;;846;859;
1062000;"Powiat m. Piotrków Trybunalski";;;;;;;;;;;;;90;84;73;67;92;142;119;123;100;63;50;54;63;71;
1062011;"Piotrków Trybunalski (1)";;;;;;;;;;;;;;;;;;;;;;;;;63;71;
1063000;"Powiat m. Skierniewice";;;;;;;;;;;;;27;19;23;25;33;35;44;46;35;29;29;18;17;12;
1063011;"Skierniewice (1)";;;;;;;;;;;;;;;;;;;;;;;;;17;12;
1200000;"MAŁOPOLSKIE";;5427;5237;5286;4973;4882;4437;4440;4720;4677;4418;4003;4368;3903;3764;3936;3839;3939;3612;3404;3136;2265;2239;2226;2211;2474;
1201000;"Powiat bocheński";;;;;;;;;;;;;96;110;90;128;124;132;105;110;74;84;73;65;79;70;
1201011;"Bochnia (1)";;;;;;;;;;;;;;;;;;;;;;;;;19;22;
1201022;"Bochnia (2)";;;;;;;;;;;;;;;;;;;;;;;;;22;13;
1201032;"Drwinia (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;1;
1201042;"Lipnica Murowana (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;3;
1201052;"Łapanów (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;8;
1201063;"Nowy Wiśnicz (3)";;;;;;;;;;;;;;;;;;;;;;;;;11;11;
1201072;"Rzezawa (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;7;
1201082;"Trzciana (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;3;
1201092;"Żegocina (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
1202000;"Powiat brzeski";;;;;;;;;;;;;184;177;150;144;131;166;127;118;111;77;53;73;46;52;
1202012;"Borzęcin (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
1202023;"Brzesko (3)";;;;;;;;;;;;;;;;;;;;;;;;;20;23;
1202033;"Czchów (3)";;;;;;;;;;;;;;;;;;;;;;;;;8;8;
1202042;"Dębno (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;5;
1202052;"Gnojnik (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;7;
1202062;"Iwkowa (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;3;
1202072;"Szczurowa (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;4;
1203000;"Powiat chrzanowski";;;;;;;;;;;;;132;117;142;170;159;150;122;94;100;63;41;49;45;67;
1203013;"Alwernia (3)";;;;;;;;;;;;;;;;;;;;;;;;;6;14;
1203022;"Babice (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;7;
1203033;"Chrzanów (3)";;;;;;;;;;;;;;;;;;;;;;;;;20;17;
1203043;"Libiąż (3)";;;;;;;;;;;;;;;;;;;;;;;;;9;10;
1203053;"Trzebinia (3)";;;;;;;;;;;;;;;;;;;;;;;;;9;19;
1204000;"Powiat dąbrowski";;;;;;;;;;;;;68;79;87;75;68;64;59;59;28;38;37;31;34;45;
1204012;"Bolesław (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
1204023;"Dąbrowa Tarnowska (3)";;;;;;;;;;;;;;;;;;;;;;;;;16;25;
1204032;"Gręboszów (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;0;
1204042;"Mędrzechów (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;3;
1204052;"Olesno (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;4;
1204062;"Radgoszcz (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;4;
1204073;"Szczucin (3)";;;;;;;;;;;;;;;;;;;;;;;;;6;7;
1205000;"Powiat gorlicki";;;;;;;;;;;;;81;57;47;42;52;56;37;44;42;38;27;21;31;33;
1205011;"Gorlice (1)";;;;;;;;;;;;;;;;;;;;;;;;;5;6;
1205023;"Biecz (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
1205033;"Bobowa (3)";;;;;;;;;;;;;;;;;;;;;;;;;5;4;
1205042;"Gorlice (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;9;
1205052;"Lipinki (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
1205062;"Łużna (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;1;
1205072;"Moszczenica (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
1205082;"Ropa (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;0;
1205092;"Sękowa (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;3;
1205102;"Uście Gorlickie (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
1206000;"Powiat krakowski";;;;;;;;;;;;;355;300;305;343;256;266;234;210;183;128;82;74;70;77;
1206012;"Czernichów (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;5;
1206022;"Igołomia-Wawrzeńczyce (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;3;
1206032;"Iwanowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;0;
1206042;"Jerzmanowice-Przeginia (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;4;
1206052;"Kocmyrzów-Luborzyca (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
1206063;"Krzeszowice (3)";;;;;;;;;;;;;;;;;;;;;;;;;8;4;
1206072;"Liszki (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;6;
1206082;"Michałowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;2;
1206092;"Mogilany (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
1206103;"Skała (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
1206113;"Skawina (3)";;;;;;;;;;;;;;;;;;;;;;;;;5;10;
1206123;"Słomniki (3)";;;;;;;;;;;;;;;;;;;;;;;;;6;5;
1206132;"Sułoszowa (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
1206143;"Świątniki Górne (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
1206152;"Wielka Wieś (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;5;
1206162;"Zabierzów (2)";;;;;;;;;;;;;;;;;;;;;;;;;13;15;
1206172;"Zielonki (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;7;
1207000;"Powiat limanowski";;;;;;;;;;;;;127;68;75;75;63;60;50;42;46;40;32;27;37;57;
1207011;"Limanowa (1)";;;;;;;;;;;;;;;;;;;;;;;;;4;8;
1207021;"Mszana Dolna (1)";;;;;;;;;;;;;;;;;;;;;;;;;3;6;
1207032;"Dobra (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;6;
1207042;"Jodłownik (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;3;
1207052;"Kamienica (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
1207062;"Laskowa (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;3;
1207072;"Limanowa (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;11;
1207082;"Łukowica (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;4;
1207092;"Mszana Dolna (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;7;
1207102;"Niedźwiedź (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
1207112;"Słopnice (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;3;
1207122;"Tymbark (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
1208000;"Powiat miechowski";;;;;;;;;;;;;54;56;46;63;63;69;66;78;72;69;27;25;20;14;
1208012;"Charsznica (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
1208022;"Gołcza (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
1208032;"Kozłów (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
1208043;"Książ Wielki (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;0;
1208053;"Miechów (3)";;;;;;;;;;;;;;;;;;;;;;;;;8;5;
1208062;"Racławice (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
1209000;"Powiat myślenicki";;;;;;;;;;;;;255;218;180;228;212;232;233;203;230;147;135;144;131;134;
1209013;"Dobczyce (3)";;;;;;;;;;;;;;;;;;;;;;;;;12;16;
1209022;"Lubień (2)";;;;;;;;;;;;;;;;;;;;;;;;;11;10;
1209033;"Myślenice (3)";;;;;;;;;;;;;;;;;;;;;;;;;62;55;
1209042;"Pcim (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;10;
1209052;"Raciechowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;4;
1209062;"Siepraw (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;6;
1209073;"Sułkowice (3)";;;;;;;;;;;;;;;;;;;;;;;;;17;20;
1209082;"Tokarnia (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;5;
1209092;"Wiśniowa (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;8;
1210000;"Powiat nowosądecki";;;;;;;;;;;;;306;234;265;285;281;290;245;283;281;218;229;208;215;221;
1210011;"Grybów (1)";;;;;;;;;;;;;;;;;;;;;;;;;6;4;
1210022;"Chełmiec (2)";;;;;;;;;;;;;;;;;;;;;;;;;29;33;
1210032;"Gródek nad Dunajcem (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;6;
1210042;"Grybów (2)";;;;;;;;;;;;;;;;;;;;;;;;;15;24;
1210052;"Kamionka Wielka (2)";;;;;;;;;;;;;;;;;;;;;;;;;11;9;
1210062;"Korzenna (2)";;;;;;;;;;;;;;;;;;;;;;;;;13;10;
1210073;"Krynica-Zdrój (3)";;;;;;;;;;;;;;;;;;;;;;;;;21;15;
1210082;"Łabowa (2)";;;;;;;;;;;;;;;;;;;;;;;;;16;6;
1210092;"Łącko (2)";;;;;;;;;;;;;;;;;;;;;;;;;17;17;
1210102;"Łososina Dolna (2)";;;;;;;;;;;;;;;;;;;;;;;;;16;24;
1210113;"Muszyna (3)";;;;;;;;;;;;;;;;;;;;;;;;;7;17;
1210122;"Nawojowa (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;12;
1210133;"Piwniczna-Zdrój (3)";;;;;;;;;;;;;;;;;;;;;;;;;13;8;
1210142;"Podegrodzie (2)";;;;;;;;;;;;;;;;;;;;;;;;;15;14;
1210152;"Rytro (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;4;
1210163;"Stary Sącz (3)";;;;;;;;;;;;;;;;;;;;;;;;;19;18;
1211000;"Powiat nowotarski";;;;;;;;;;;;;263;228;227;188;194;193;195;198;206;139;147;121;121;135;
1211011;"Nowy Targ (1)";;;;;;;;;;;;;;;;;;;;;;;;;15;24;
1211023;"Szczawnica (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
1211033;"Czarny Dunajec (3)";;;;;;;;;;;;;;;;;;;;;;;;;14;10;
1211042;"Czorsztyn (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;2;
1211052;"Jabłonka (2)";;;;;;;;;;;;;;;;;;;;;;;;;13;15;
1211062;"Krościenko nad Dunajcem (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;1;
1211072;"Lipnica Wielka (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;2;
1211082;"Łapsze Niżne (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;9;
1211092;"Nowy Targ (2)";;;;;;;;;;;;;;;;;;;;;;;;;23;33;
1211102;"Ochotnica Dolna (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
1211112;"Raba Wyżna (2)";;;;;;;;;;;;;;;;;;;;;;;;;9;7;
1211123;"Rabka-Zdrój (3)";;;;;;;;;;;;;;;;;;;;;;;;;14;15;
1211132;"Spytkowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;2;
1211142;"Szaflary (2)";;;;;;;;;;;;;;;;;;;;;;;;;10;12;
1212000;"Powiat olkuski";;;;;;;;;;;;;122;97;84;83;107;128;115;89;77;60;68;65;55;44;
1212011;"Bukowno (1)";;;;;;;;;;;;;;;;;;;;;;;;;3;1;
1212032;"Bolesław (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;5;
1212042;"Klucze (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;3;
1212053;"Olkusz (3)";;;;;;;;;;;;;;;;;;;;;;;;;22;19;
1212062;"Trzyciąż (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;4;
1212073;"Wolbrom (3)";;;;;;;;;;;;;;;;;;;;;;;;;17;12;
1213000;"Powiat oświęcimski";;;;;;;;;;;;;131;122;141;107;110;108;103;78;86;65;71;60;82;107;
1213011;"Oświęcim (1)";;;;;;;;;;;;;;;;;;;;;;;;;31;33;
1213023;"Brzeszcze (3)";;;;;;;;;;;;;;;;;;;;;;;;;8;12;
1213033;"Chełmek (3)";;;;;;;;;;;;;;;;;;;;;;;;;9;3;
1213043;"Kęty (3)";;;;;;;;;;;;;;;;;;;;;;;;;13;17;
1213052;"Osiek (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;11;
1213062;"Oświęcim (2)";;;;;;;;;;;;;;;;;;;;;;;;;11;12;
1213072;"Polanka Wielka (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;3;
1213082;"Przeciszów (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;8;
1213093;"Zator (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;8;
1214000;"Powiat proszowicki";;;;;;;;;;;;;68;62;50;57;60;61;66;72;53;33;19;20;31;28;
1214012;"Koniusza (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;6;
1214023;"Koszyce (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;4;
1214033;"Nowe Brzesko (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
1214042;"Pałecznica (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;0;
1214053;"Proszowice (3)";;;;;;;;;;;;;;;;;;;;;;;;;14;14;
1214062;"Radziemice (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
1215000;"Powiat suski";;;;;;;;;;;;;79;46;50;45;47;59;51;40;49;19;25;24;29;32;
1215011;"Jordanów (1)";;;;;;;;;;;;;;;;;;;;;;;;;0;4;
1215021;"Sucha Beskidzka (1)";;;;;;;;;;;;;;;;;;;;;;;;;5;3;
1215032;"Budzów (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;4;
1215042;"Bystra-Sidzina (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;0;
1215052;"Jordanów (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;4;
1215063;"Maków Podhalański (3)";;;;;;;;;;;;;;;;;;;;;;;;;5;9;
1215072;"Stryszawa (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
1215082;"Zawoja (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;5;
1215092;"Zembrzyce (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;0;
1216000;"Powiat tarnowski";;;;;;;;;;;;;165;141;150;125;123;112;99;87;70;68;67;66;67;76;
1216013;"Ciężkowice (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;4;
1216022;"Gromnik (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;4;
1216032;"Lisia Góra (2)";;;;;;;;;;;;;;;;;;;;;;;;;11;6;
1216042;"Pleśna (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
1216053;"Radłów (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
1216063;"Ryglice (3)";;;;;;;;;;;;;;;;;;;;;;;;;5;4;
1216072;"Rzepiennik Strzyżewski (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;2;
1216082;"Skrzyszów (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;6;
1216092;"Tarnów (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;7;
1216103;"Tuchów (3)";;;;;;;;;;;;;;;;;;;;;;;;;6;9;
1216112;"Wierzchosławice (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;9;
1216122;"Wietrzychowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
1216133;"Wojnicz (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;4;
1216143;"Zakliczyn (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;5;
1216153;"Żabno (3)";;;;;;;;;;;;;;;;;;;;;;;;;6;8;
1216162;"Szerzyny (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;3;
1217000;"Powiat tatrzański";;;;;;;;;;;;;125;118;123;111;129;126;142;115;112;74;75;74;89;90;
1217011;"Zakopane (1)";;;;;;;;;;;;;;;;;;;;;;;;;44;37;
1217022;"Biały Dunajec (2)";;;;;;;;;;;;;;;;;;;;;;;;;9;8;
1217032;"Bukowina Tatrzańska (2)";;;;;;;;;;;;;;;;;;;;;;;;;10;12;
1217042;"Kościelisko (2)";;;;;;;;;;;;;;;;;;;;;;;;;13;11;
1217052;"Poronin (2)";;;;;;;;;;;;;;;;;;;;;;;;;13;22;
1218000;"Powiat wadowicki";;;;;;;;;;;;;125;138;115;157;125;69;105;130;83;73;57;74;60;60;
1218013;"Andrychów (3)";;;;;;;;;;;;;;;;;;;;;;;;;22;18;
1218022;"Brzeźnica (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;7;
1218033;"Kalwaria Zebrzydowska (3)";;;;;;;;;;;;;;;;;;;;;;;;;6;3;
1218042;"Lanckorona (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
1218052;"Mucharz (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;5;
1218062;"Spytkowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;4;
1218072;"Stryszów (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
1218082;"Tomice (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
1218093;"Wadowice (3)";;;;;;;;;;;;;;;;;;;;;;;;;11;13;
1218102;"Wieprz (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;5;
1219000;"Powiat wielicki";;;;;;;;;;;;;150;126;135;132;129;132;159;154;131;116;107;77;61;46;
1219012;"Biskupice (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
1219022;"Gdów (2)";;;;;;;;;;;;;;;;;;;;;;;;;14;11;
1219032;"Kłaj (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;6;
1219043;"Niepołomice (3)";;;;;;;;;;;;;;;;;;;;;;;;;18;11;
1219053;"Wieliczka (3)";;;;;;;;;;;;;;;;;;;;;;;;;20;16;
1261000;"Powiat m. Kraków";;;;;;;;;;;;;1229;1170;1082;1147;1157;1179;1035;969;886;567;745;778;770;941;
1261011;"Kraków (1)";;;;;;;;;;;;;;;;;;;;;;;;;770;941;
1262000;"Powiat m. Nowy Sącz";;;;;;;;;;;;;161;157;160;155;183;208;201;186;170;113;97;108;92;100;
1262011;"Nowy Sącz (1)";;;;;;;;;;;;;;;;;;;;;;;;;92;100;
1263000;"Powiat m. Tarnów";;;;;;;;;;;;;92;82;60;76;66;79;63;45;46;36;25;42;46;45;
1263011;"Tarnów (1)";;;;;;;;;;;;;;;;;;;;;;;;;46;45;
1400000;"MAZOWIECKIE";;7627;7224;7224;6805;6375;6452;6617;6881;6910;5763;5190;5128;4490;4579;4385;4006;4078;4048;4034;3802;2960;3086;2896;2799;2866;
1401000;"Powiat białobrzeski";;;;;;;;;;;;;49;42;48;50;34;40;31;36;34;27;30;36;33;42;
1401013;"Białobrzegi (3)";;;;;;;;;;;;;;;;;;;;;;;;;11;17;
1401022;"Promna (2)";;;;;;;;;;;;;;;;;;;;;;;;;9;14;
1401032;"Radzanów (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;1;
1401042;"Stara Błotnica (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;5;
1401052;"Stromiec (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
1401063;"Wyśmierzyce (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
1402000;"Powiat ciechanowski";;;;;;;;;;;;;70;59;58;35;28;33;39;61;65;40;53;30;43;34;
1402011;"Ciechanów (1)";;;;;;;;;;;;;;;;;;;;;;;;;18;6;
1402022;"Ciechanów (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;4;
1402033;"Glinojeck (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;4;
1402042;"Gołymin-Ośrodek (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
1402052;"Grudusk (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;5;
1402062;"Ojrzeń (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;4;
1402072;"Opinogóra Górna (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;4;
1402082;"Regimin (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
1402092;"Sońsk (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;3;
1403000;"Powiat garwoliński";;;;;;;;;;;;;130;101;106;104;86;115;127;114;128;89;73;74;74;74;
1403011;"Garwolin (1)";;;;;;;;;;;;;;;;;;;;;;;;;15;12;
1403021;"Łaskarzew (1)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
1403032;"Borowie (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;4;
1403042;"Garwolin (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;9;
1403052;"Górzno (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;5;
1403062;"Łaskarzew (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;1;
